numero,jogador,selecao
8,Shoja Khalilzadeh,Irã
9,Milad Mohammadi,Irã
10,Ali Nemati,Irã
11,Ramin Rezaeian,Irã
12,Rouzbeh Cheshmi,Irã
13,Saeid Ezatolahi,Irã
14,Mehdi Ghaedi,Irã
15,Saman Ghoddos,Irã
16,Mohammad Ghorbani,Irã
17,Alireza Jahanbakhsh,Irã
18,Mohammad Mohebi,Irã
19,Amir Mohammad Razzaghinia,Irã
20,Mehdi Torabi,Irã
21,Aria Yousefi,Irã
22,Ali Alipour,Irã
23,Dennis Dargahi,Irã
24,Amirhossein Hosseinzadeh,Irã
25,Mehdi Taremi,Irã
26,Shahriar Moghanlou,Irã
1,Jalal Hassan,Iraque
2,Ahmed Basil,Iraque
3,Fahad Talib,Iraque
4,Mirkhas Doski,Iraque
5,Ahmed Maknzi,Iraque
6,Manaf Younis,Iraque
7,Akam Hashim,Iraque
8,Zaid Tahsin,Iraque
9,Rebin Sulaka,Iraque
10,Frans Putros,Iraque
11,Hussein Ali,Iraque
12,Mustafa Saadoun,Iraque
13,Aimar Sher,Iraque
14,Zaid Ismail,Iraque
15,Amir Al-Ammari,Iraque
16,Kevin Yaqoub,Iraque
17,Zidane Iqbal,Iraque
18,Ahmed Qasim,Iraque
19,Ibrahim Bayesh,Iraque
20,Ali Jassim,Iraque
21,Yousef Amin,Iraque
22,Marco Faraj,Iraque
23,Ali Al-Hamadi,Iraque
24,Aymen Hussein,Iraque
25,Mohanad Ali,Iraque
26,Ali Youssef,Iraque
1,Zion Suzuki,Japão
2,Keisuke Osako,Japão
3,Tomoki Hayakawa,Japão
4,Hiroki Ito,Japão
5,Junnosuke Suzuki,Japão
6,Ayumu Seko,Japão
7,Shogo Taniguchi,Japão
8,Tsuyoshi Watanabe,Japão
9,Ko Itakura,Japão
10,Takehiro Tomiyasu,Japão
11,Yukinari Sugawara,Japão
12,Yuto Nagatomo,Japão
13,Daichi Kamada,Japão
14,Ao Tanaka,Japão
15,Kaishu Sano,Japão
16,Shuto Machino,Japão
17,Keito Nakamura,Japão
18,Daizen Maeda,Japão
19,Ritsu Doan,Japão
20,Yuito Suzuki,Japão
21,Junya Ito,Japão
22,Ayase Ueda,Japão
23,Koki Ogawa,Japão
24,Kento Shiogai,Japão
25,Keisuke Goto,Japão
26,Takefusa Kubo,Japão
1,Yazeed Abu Laila,Jordânia
2,Abdullah Al-Fakhouri,Jordânia
3,Nour Bani Attiah,Jordânia
4,Abdallah Nasib,Jordânia
5,Saed Al-Rosan,Jordânia
6,Yazan Al-Arab,Jordânia
7,Saleem Obaid,Jordânia
